Accession 	 ORF 	 start 	 end 	 strand
NZ_AP018172.1	NZ_AP018172.1_3689	4529168	4530034	1
NZ_AP024613.1	NZ_AP024613.1_1175	1327999	1328829	-1
NZ_CP073070.1	NZ_CP073070.1_1337	1563164	1564126	-1
NZ_CP083721.1	NZ_CP083721.1_4521	4702978	4703835	1
NZ_CP022553.2	NZ_CP022553.2_711	793173	794027	-1
NZ_AP018314.1	NZ_AP018314.1_2857	3132351	3133223	1
NZ_CP020028.1	NZ_CP020028.1_1426	1637596	1638540	1
NZ_CP053748.1	NZ_CP053748.1_401	429760	430656	-1
NZ_CP076724.1	NZ_CP076724.1_977	1117771	1118736	1
NZ_CP060796.1	NZ_CP060796.1_2401	2453695	2454594	-1
NZ_CP084742.1	NZ_CP084742.1_1374	1557058	1557945	1
NZ_CP116221.1	NZ_CP116221.1_1818	2018715	2019545	1
NZ_CP123854.1	NZ_CP123854.1_1591	1699807	1700652	-1
NZ_CP107282.1	NZ_CP107282.1_1502	1663619	1665349	1
NZ_CP027852.1	NZ_CP027852.1_742	790727	791590	1
NZ_CM001513.1	NZ_CM001513.1_3866	4463100	4463936	-1
NZ_CP035812.1	NZ_CP035812.1_2787	2981607	2982461	-1
NZ_CP016205.1	NZ_CP016205.1_657	802761	803696	-1
NZ_CP023522.1	NZ_CP023522.1_926	1038176	1039096	1
NZ_CP077679.1	NZ_CP077679.1_363	414314	415276	1
NC_006576.1	NC_006576.1_1433	1442461	1443333	1
NZ_CP110375.1	NZ_CP110375.1_1627	1758162	1759013	-1
NZ_CP025084.1	NZ_CP025084.1_3270	3659795	3660649	1
NZ_CP099540.1	NZ_CP099540.1_95	108754	109632	1
NZ_CP032412.1	NZ_CP032412.1_1582	1732498	1733442	1
NZ_CP091456.1	NZ_CP091456.1_490	539470	540447	1
NZ_CP068287.1	NZ_CP068287.1_1040	1115067	1115906	-1
NZ_CP017881.1	NZ_CP017881.1_1183	1131921	1132895	1
NZ_CP113904.1	NZ_CP113904.1_84	82084	82953	-1
NZ_CP072257.1	NZ_CP072257.1_2438	2797290	2798201	1
NZ_CP024175.1	NZ_CP024175.1_475	516484	517434	-1
NZ_CP054698.1	NZ_CP054698.1_368	423501	424355	-1
NZ_CP019686.1	NZ_CP019686.1_1577	1757395	1758231	-1
NZ_CP083853.1	NZ_CP083853.1_2265	2443253	2444296	-1
NZ_CP024636.1	NZ_CP024636.1_562	636466	637371	-1
NZ_HG992758.1	NZ_HG992758.1_1425	1592879	1594615	-1
NZ_CP127251.1	NZ_CP127251.1_2337	2426253	2427185	1
NZ_CP015749.1	NZ_CP015749.1_2048	2279900	2280748	-1
NZ_CP019300.1	NZ_CP019300.1_1590	1887170	1888084	-1
NZ_CP088150.1	NZ_CP088150.1_6929	7289292	7290218	1
NZ_CP071261.1	NZ_CP071261.1_1538	1657881	1658735	-1
NZ_CP119757.1	NZ_CP119757.1_1045	1143147	1144028	1
NZ_LT897798.1	NZ_LT897798.1_455	468882	469784	1
NC_015677.1	NC_015677.1_3399	3529890	3530870	-1
NZ_CP022444.1	NZ_CP022444.1_4285	4637397	4638308	-1
NC_007955.1	NC_007955.1_1786	1725487	1726344	1
NZ_CP046058.1	NZ_CP046058.1_2720	2883255	2884097	1
NZ_CP094724.1	NZ_CP094724.1_192	197171	198088	1
NZ_CP050062.1	NZ_CP050062.1_881	976874	977767	1
NZ_CP106785.1	NZ_CP106785.1_592	636037	636888	-1
NZ_CP050329.1	NZ_CP050329.1_4259	4641540	4642490	1
NZ_CP077970.1	NZ_CP077970.1_2867	3242983	3243903	1
NZ_HG992751.1	NZ_HG992751.1_1834	2037016	2038761	-1
NZ_AP019849.1	NZ_AP019849.1_1306	1560701	1562434	-1
NZ_CP090589.1	NZ_CP090589.1_3305	3769837	3770880	-1
NC_006155.1	NC_006155.1_1806	2124872	2125750	1
NZ_CP019008.1	NZ_CP019008.1_1838	2003644	2004546	1
NZ_CP046898.1	NZ_CP046898.1_216	241900	242703	1
NZ_CP039832.1	NZ_CP039832.1_3073	3394648	3395583	1
NZ_CP090418.1	NZ_CP090418.1_2870	3099441	3100364	1
NZ_CP092632.1	NZ_CP092632.1_2680	2858575	2859465	-1
NZ_CP074676.1	NZ_CP074676.1_4437	4981782	4982630	1
NZ_CP046750.1	NZ_CP046750.1_880	971902	972753	1
NZ_CP054010.1	NZ_CP054010.1_1023	1336186	1337109	-1
NC_018286.1	NC_018286.1_1953	2099851	2100783	-1
NZ_CP046705.1	NZ_CP046705.1_321	311694	312542	-1
NZ_CP064827.1	NZ_CP064827.1_56	69822	70667	-1
NZ_AP024565.1	NZ_AP024565.1_5204	5346703	5347551	1
NC_008787.1	NC_008787.1_1425	1433615	1434463	-1
NZ_CP114287.1	NZ_CP114287.1_1187	1401451	1402302	1
NZ_CP098701.1	NZ_CP098701.1_2474	2734086	2734922	1
NZ_LR134089.1	NZ_LR134089.1_28	36388	37302	1
NZ_CP073710.1	NZ_CP073710.1_1919	1979210	1980061	1
NC_018692.1	NC_018692.1_2406	2808634	2809470	-1
NC_019771.1	NC_019771.1_4159	4668887	4669741	-1
NZ_CP077421.1	NZ_CP077421.1_3796	4274789	4275691	-1
NZ_CP034364.1	NZ_CP034364.1_12	7531	8133	-1
NZ_CP099532.1	NZ_CP099532.1_1902	2273257	2274111	-1
NZ_CP045538.2	NZ_CP045538.2_2489	2717702	2718610	-1
NZ_CP027618.1	NZ_CP027618.1_458	512758	513603	1
NZ_CP010268.1	NZ_CP010268.1_3849	4399617	4400543	1
NZ_CP039127.1	NZ_CP039127.1_4122	4572930	4573850	-1
NZ_CP073801.1	NZ_CP073801.1_392	383129	383938	1
NC_022535.1	NC_022535.1_1363	1412008	1412907	-1
NZ_CP009518.1	NZ_CP009518.1_2293	2311334	2312185	1
NZ_CP079218.1	NZ_CP079218.1_2715	3316147	3316992	1
NZ_CP101524.1	NZ_CP101524.1_1321	1429675	1430577	1
NZ_CP109652.1	NZ_CP109652.1_2593	2464033	2464896	-1
NZ_CP055564.1	NZ_CP055564.1_1901	2002106	2003518	-1
NZ_CP087183.1	NZ_CP087183.1_258	318316	319350	-1
NZ_CP019998.1	NZ_CP019998.1_1827	1803268	1803900	-1
NZ_CP045769.1	NZ_CP045769.1_2186	2418244	2419155	-1
NZ_CM001436.1	NZ_CM001436.1_2394	2508578	2509600	-1
NZ_CP050843.1	NZ_CP050843.1_3991	4231022	4231945	1
NC_011726.1	NC_011726.1_632	661163	662080	1
NZ_CP010896.1	NZ_CP010896.1_166	194280	195215	1
NZ_CP069441.1	NZ_CP069441.1_904	989971	990825	-1
NZ_CP034276.1	NZ_CP034276.1_442	486833	487693	1
NZ_CP096115.1	NZ_CP096115.1_765	902764	903777	-1
NZ_CP091285.1	NZ_CP091285.1_2469	2770580	2771452	-1
NZ_CP093276.1	NZ_CP093276.1_1351	1409719	1410612	1
NZ_CP061561.1	NZ_CP061561.1_723	753670	754590	-1
NZ_CP025676.1	NZ_CP025676.1_2573	2709602	2710501	-1
NZ_CP065231.1	NZ_CP065231.1_844	926814	927740	-1
NZ_CP027747.1	NZ_CP027747.1_3501	3961608	3962510	1
NZ_CP084032.1	NZ_CP084032.1_1626	1841963	1842820	-1
NZ_CM001368.1	NZ_CM001368.1_334	383870	384763	-1
NZ_CP048784.1	NZ_CP048784.1_1902	2053958	2054839	1
NZ_CP062122.1	NZ_CP062122.1_3759	4242290	4243174	1
NC_013216.1	NC_013216.1_3859	4092713	4093633	-1
NZ_CP084664.1	NZ_CP084664.1_1456	1578277	1579143	1
NZ_CP110193.1	NZ_CP110193.1_2987	3209676	3210587	1
NZ_CP077422.1	NZ_CP077422.1_2882	3353076	3353915	-1
NZ_CP038022.1	NZ_CP038022.1_1092	1189392	1190420	1
NC_015275.1	NC_015275.1_2565	2818567	2819433	-1
NZ_LR134195.1	NZ_LR134195.1_1179	1233813	1234673	-1
NZ_CP070981.1	NZ_CP070981.1_137	149576	150475	-1
NC_013209.1	NC_013209.1_825	871859	872722	-1
NZ_LR890490.1	NZ_LR890490.1_1124	1177485	1178330	-1
NZ_CP043449.1	NZ_CP043449.1_3971	4504576	4505481	1
NZ_CP020738.1	NZ_CP020738.1_2803	3159202	3160152	-1
NZ_CP055024.1	NZ_CP055024.1_1555	1652023	1652931	-1
NZ_CP035417.1	NZ_CP035417.1_1604	1622694	1623602	-1
NZ_CP110009.1	NZ_CP110009.1_2679	3199429	3200319	1
NZ_CP027707.1	NZ_CP027707.1_2116	2354314	2355237	1
NZ_CP023054.1	NZ_CP023054.1_523	592914	593756	1
NZ_LR607338.1	NZ_LR607338.1_2831	3429945	3431348	-1
NC_019676.1	NC_019676.1_1507	1735563	1736150	1
NZ_CP025030.1	NZ_CP025030.1_4178	4667341	4668264	1
NZ_CP060021.1	NZ_CP060021.1_2530	2821073	2822017	1
NZ_CP046316.1	NZ_CP046316.1_1874	2143807	2144643	-1
NZ_CP060938.1	NZ_CP060938.1_2246	2425395	2426837	-1
NZ_CP103178.1	NZ_CP103178.1_2424	2736570	2737421	1
NC_007482.1	NC_007482.1_305	370697	371539	-1
NC_014507.1	NC_014507.1_1018	1014821	1015813	-1
NZ_CP071178.1	NZ_CP071178.1_3337	3660367	3661290	-1
NZ_CP094541.1	NZ_CP094541.1_2445	2530846	2531769	1
NC_017626.1	NC_017626.1_4007	4239625	4240551	1
NZ_CP112866.1	NZ_CP112866.1_4100	4484044	4485084	-1
NZ_CP097107.1	NZ_CP097107.1_3954	4086689	4087540	1
NZ_CP094242.1	NZ_CP094242.1_1297	1427186	1428013	-1
NC_022964.1	NC_022964.1_110	100481	101347	1
NZ_CP118629.1	NZ_CP118629.1_943	1093604	1094641	1
NZ_CP126137.1	NZ_CP126137.1_918	1034458	1035450	1
NC_004129.6	NC_004129.6_2020	2245686	2246588	-1
NZ_CP009517.1	NZ_CP009517.1_1390	1667070	1667942	1
NZ_CP035501.1	NZ_CP035501.1_1206	1324413	1325363	1
NZ_CP032848.1	NZ_CP032848.1_223	233229	234170	-1
NZ_CP043571.1	NZ_CP043571.1_3382	3854589	3855509	1
NZ_CP060593.1	NZ_CP060593.1_109	89331	90188	-1
NZ_CP027744.1	NZ_CP027744.1_3629	4137374	4138249	1
NZ_CP074149.1	NZ_CP074149.1_489	520437	521345	1
NC_017956.1	NC_017956.1_1153	1257703	1258590	1
NZ_CP012648.1	NZ_CP012648.1_1758	1859079	1859909	-1
NZ_AP021902.1	NZ_AP021902.1_294	348298	349233	-1
NZ_AP018750.1	NZ_AP018750.1_2830	2987726	2988586	-1
NZ_CP007244.1	NZ_CP007244.1_222	218915	219841	1
NZ_CP110080.1	NZ_CP110080.1_1423	1573156	1574550	-1
NZ_CP053923.1	NZ_CP053923.1_2806	3099185	3100045	1
NZ_AP013063.1	NZ_AP013063.1_2631	2811545	2812399	1
NZ_CP051529.1	NZ_CP051529.1_887	1042308	1043156	-1
NZ_CP036245.1	NZ_CP036245.1_942	1017940	1018797	1
NC_021009.1	NC_021009.1_423	471221	472132	1
NZ_CP097646.1	NZ_CP097646.1_2826	3027004	3027882	-1
NZ_CP117167.1	NZ_CP117167.1_1206	1292663	1293727	1
NZ_CP028568.2	NZ_CP028568.2_2674	2994924	2995811	1
NZ_CP083821.1	NZ_CP083821.1_2858	3044099	3045007	1
NZ_CP091092.1	NZ_CP091092.1_169	175212	176258	-1
NZ_CP019113.1	NZ_CP019113.1_3627	3940114	3941517	1
NZ_CP034675.1	NZ_CP034675.1_3586	3991819	3992727	-1
NZ_CP112875.1	NZ_CP112875.1_23	22987	23856	-1
NZ_CP020100.1	NZ_CP020100.1_3586	3925920	3926765	-1
NZ_CP097329.1	NZ_CP097329.1_551	566841	567803	1
NZ_CP062916.1	NZ_CP062916.1_3236	3482367	3483266	-1
NZ_CP018056.1	NZ_CP018056.1_1295	1401055	1402047	-1
NZ_CP072453.1	NZ_CP072453.1_1956	2068132	2069013	-1
NZ_CP093332.1	NZ_CP093332.1_1029	1139822	1140667	-1
NZ_CP049246.1	NZ_CP049246.1_765	868465	869337	1
NZ_CP045915.1	NZ_CP045915.1_53	38773	39687	1
NZ_CP064701.1	NZ_CP064701.1_6648	6965287	6966123	-1
NZ_CP087188.1	NZ_CP087188.1_2091	2337359	2338306	-1
NZ_CP031396.1	NZ_CP031396.1_720	862464	863339	1
NZ_CP079713.1	NZ_CP079713.1_352	391505	392908	-1
NC_020913.1	NC_020913.1_735	717917	718774	-1
NZ_AP022254.1	NZ_AP022254.1_2816	3166901	3167782	1
NZ_CP094226.1	NZ_CP094226.1_612	700625	701449	1
NC_017271.1	NC_017271.1_3552	4207706	4208653	-1
NZ_CP072597.1	NZ_CP072597.1_3779	4673305	4674234	-1
NZ_CP069437.1	NZ_CP069437.1_170	198186	198584	1
NZ_LT571436.1	NZ_LT571436.1_1756	1935265	1936179	1
NZ_CP034944.1	NZ_CP034944.1_1371	1463786	1464643	1
NZ_CP033744.1	NZ_CP033744.1_1108	1146947	1147786	-1
NZ_CP110342.1	NZ_CP110342.1_1044	1145441	1146283	1
NZ_CP102247.1	NZ_CP102247.1_3968	4312399	4313304	1
NZ_CP031011.1	NZ_CP031011.1_2894	3014926	3015843	1
NZ_CP097326.1	NZ_CP097326.1_1854	2047622	2048491	-1
NZ_CP045101.1	NZ_CP045101.1_1935	2033365	2034270	-1
NZ_AP014815.1	NZ_AP014815.1_2431	2703625	2704494	-1
NC_011729.1	NC_011729.1_868	952780	953634	-1
NZ_CP059488.1	NZ_CP059488.1_2659	2629227	2629832	1
NZ_CP106743.1	NZ_CP106743.1_4386	4817976	4818839	1
NZ_CP085632.1	NZ_CP085632.1_1756	1915891	1916769	-1
NC_014033.1	NC_014033.1_1843	2139030	2139875	-1
NZ_CP027715.1	NZ_CP027715.1_3572	4090975	4091865	1
NZ_CP053482.1	NZ_CP053482.1_3239	3300089	3300937	1
NZ_CP052863.1	NZ_CP052863.1_399	467351	468343	1
NZ_CP018915.1	NZ_CP018915.1_3600	3915503	3916360	1
NZ_CP054492.1	NZ_CP054492.1_1714	1720100	1720981	1
NZ_CP075899.1	NZ_CP075899.1_15	11968	12963	-1
NZ_CP032312.1	NZ_CP032312.1_82	92740	93576	1
NZ_CP084351.1	NZ_CP084351.1_2929	3383859	3384662	1
NZ_CP013487.1	NZ_CP013487.1_65	63984	64877	-1
NZ_CP084767.1	NZ_CP084767.1_2097	2341251	2342105	-1
NZ_CP074352.1	NZ_CP074352.1_2495	2671702	2673105	1
NZ_AP022264.1	NZ_AP022264.1_1294	1428047	1428805	-1
NC_009634.1	NC_009634.1_111	112796	113632	-1
NZ_CP046515.1	NZ_CP046515.1_47	54140	54982	1
NZ_CP122397.1	NZ_CP122397.1_3069	2970111	2971007	-1
NZ_CP113975.1	NZ_CP113975.1_2565	2968710	2969591	1
NZ_CP060293.1	NZ_CP060293.1_6649	8455312	8456295	-1
NZ_CP098723.1	NZ_CP098723.1_975	1108224	1109063	1
NZ_CP065867.1	NZ_CP065867.1_4686	5100668	5101600	1
NZ_CP019947.1	NZ_CP019947.1_2115	2326360	2327235	-1
NZ_CP087880.1	NZ_CP087880.1_530	616555	617982	-1
NZ_CP104108.1	NZ_CP104108.1_1317	1466405	1467829	-1
NC_016940.1	NC_016940.1_305	383144	384055	-1
NZ_CP024933.1	NZ_CP024933.1_2866	3176200	3177045	1
NZ_CP057483.1	NZ_CP057483.1_2541	2747872	2749275	1
NZ_CP106754.1	NZ_CP106754.1_3463	3710758	3711633	-1
NZ_CP014637.1	NZ_CP014637.1_1378	1596585	1597478	-1
NZ_CP104392.1	NZ_CP104392.1_425	426497	427375	-1
NZ_CP019398.1	NZ_CP019398.1_1709	1953380	1954216	1
NZ_CP045300.1	NZ_CP045300.1_4590	4877675	4879186	-1
NZ_CP053939.1	NZ_CP053939.1_1881	2011402	2012325	1
NZ_CP027225.1	NZ_CP027225.1_1740	1870126	1871607	-1
NZ_CP125781.1	NZ_CP125781.1_2752	2922038	2923441	1
NZ_CP016948.1	NZ_CP016948.1_2975	3181415	3182797	1
NZ_CP034930.1	NZ_CP034930.1_2353	2660563	2661402	-1
NC_021500.1	NC_021500.1_1098	1166307	1167830	1
NZ_CP109851.1	NZ_CP109851.1_4488	4834192	4835076	1
NZ_CP028758.1	NZ_CP028758.1_1571	1766583	1767620	1
NZ_CP097286.1	NZ_CP097286.1_176	207477	208331	1
NZ_CP059419.1	NZ_CP059419.1_2872	3122285	3123151	1
NZ_CP021645.1	NZ_CP021645.1_310	374186	375019	1
NZ_CP059075.1	NZ_CP059075.1_2134	2423584	2424438	1
NZ_CP022089.2	NZ_CP022089.2_2225	2528648	2529577	-1
NZ_CP022129.1	NZ_CP022129.1_546	661476	662360	-1
NZ_CP115636.1	NZ_CP115636.1_124	133137	134006	1
NZ_AP019658.1	NZ_AP019658.1_427	494444	495892	1
NZ_AP023049.1	NZ_AP023049.1_1140	1454744	1455745	-1
NC_011963.1	NC_011963.1_2943	3082395	3083318	-1
NZ_CP114289.2	NZ_CP114289.2_562	664450	665307	1
NZ_CP027561.1	NZ_CP027561.1_4568	5123003	5123848	-1
NZ_CP050215.1	NZ_CP050215.1_2072	2462562	2463965	1
NZ_CP127247.1	NZ_CP127247.1_2160	2240402	2241148	-1
NZ_CM001555.1	NZ_CM001555.1_1333	1291188	1292096	1
NZ_CP042499.1	NZ_CP042499.1_2666	2882723	2884129	-1
NZ_LR595855.1	NZ_LR595855.1_1395	1492438	1493277	1
NZ_CP047694.1	NZ_CP047694.1_1687	1863054	1863899	1
NZ_CP007215.2	NZ_CP007215.2_3279	3484062	3484937	-1
NZ_CP058985.1	NZ_CP058985.1_2292	2709806	2710675	1
NZ_CP128204.1	NZ_CP128204.1_2300	2498281	2499135	-1
NZ_CP071854.1	NZ_CP071854.1_83	65013	65906	-1
NZ_CP120231.1	NZ_CP120231.1_4731	5650395	5651249	1
NZ_CP061739.1	NZ_CP061739.1_2232	2690707	2691567	-1
NZ_AP023268.1	NZ_AP023268.1_1229	1373655	1374524	-1
NZ_AP025028.1	NZ_AP025028.1_1527	1765571	1766443	-1
NZ_CP106881.1	NZ_CP106881.1_2377	2698559	2699479	-1
NZ_CP095165.1	NZ_CP095165.1_2356	2493460	2494314	1
NZ_CP085926.1	NZ_CP085926.1_2206	2571285	2572301	1
NZ_CP061799.1	NZ_CP061799.1_1986	2373230	2374072	-1
NZ_OX460963.1	NZ_OX460963.1_2989	3228165	3229004	-1
NZ_CP100471.1	NZ_CP100471.1_1382	1369248	1370168	1
NZ_JAOYTO010000001.1	NZ_JAOYTO010000001.1_953	1000975	1001823	-1
NZ_CP045651.1	NZ_CP045651.1_1622	1962106	1963173	-1
NC_021659.1	NC_021659.1_3176	3423138	3423992	1
NZ_CP041771.1	NZ_CP041771.1_1904	2017234	2018100	-1
NZ_CP057136.1	NZ_CP057136.1_3292	3495429	3496310	-1
NZ_CP095556.1	NZ_CP095556.1_3982	4400913	4401962	-1
NZ_CP035129.1	NZ_CP035129.1_1553	1692872	1694344	-1
NZ_CP088954.1	NZ_CP088954.1_221	248448	249428	-1
NZ_CP053672.2	NZ_CP053672.2_60	51387	52229	-1
NZ_CP040428.1	NZ_CP040428.1_4203	4617100	4618491	1
NZ_CP045875.1	NZ_CP045875.1_705	753315	754247	-1
NZ_CP107576.1	NZ_CP107576.1_3489	3878225	3879097	1
NZ_CP015113.1	NZ_CP015113.1_3057	3315208	3316785	1
NZ_CP009459.1	NZ_CP009459.1_3781	4094716	4096110	1
NZ_CP037871.1	NZ_CP037871.1_1501	1651488	1652372	1
NZ_CP078576.1	NZ_CP078576.1_39	55982	57385	-1
NZ_CP050811.1	NZ_CP050811.1_1990	2045354	2046757	1
NZ_CP016839.1	NZ_CP016839.1_1451	1563524	1564408	1
NZ_CP125805.1	NZ_CP125805.1_427	464385	465383	-1
NZ_CP019646.1	NZ_CP019646.1_361	481163	482011	1
NZ_CP050219.1	NZ_CP050219.1_4106	6092080	6092919	-1
NC_010506.1	NC_010506.1_873	1147043	1147882	1
NZ_CP016447.1	NZ_CP016447.1_185	207652	208503	1
